program,rewrite_id,dataset,variant,run,total_runtime_ms,total_runtime_s,peak_rss_kb
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,27,2691.165,2.691165,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,28,2691.486,2.691486,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,29,2844.364,2.844364,85760
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,3,2751.505,2.751505,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,30,2766.422,2.766422,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,4,2725.594,2.725594,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,5,2713.188,2.713188,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,6,2837.386,2.837386,85888
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,7,2906.599,2.906599,85632
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,8,2826.498,2.826498,86016
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,9,2867.496,2.867496,86144
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,1,10797.544,10.797544,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,10,10814.984,10.814984,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,11,10859.205,10.859205,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,12,10963.117,10.963117,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,13,10880.625,10.880625,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,14,10884.66,10.88466,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,15,10825.727,10.825727,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,16,10789.711,10.789711,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,17,11085.913,11.085913,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,18,10945.677,10.945677,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,19,10739.293,10.739293,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,2,10817.963,10.817963,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,20,10793.097,10.793097,437504
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,21,10825.724,10.825724,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,22,10798.328,10.798328,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,23,10779.228,10.779228,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,24,11040.435,11.040435,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,25,10835.092,10.835092,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,26,10815.363,10.815363,437632
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,27,11001.456,11.001456,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,28,10853.137,10.853137,436992
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,29,10863.631,10.863631,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,3,10944.734,10.944734,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,30,10965.377,10.965377,436992
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,4,10868.314,10.868314,437504
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,5,10909.495,10.909495,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,6,10939.503,10.939503,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,7,10872.311,10.872311,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,8,10812.046,10.812046,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,noopt,9,10790.525,10.790525,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,1,10718.824,10.718824,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,10,10877.008,10.877008,437504
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,11,10824.347,10.824347,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,12,10748.302,10.748302,437632
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,13,10969.653,10.969653,437632
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,14,11070.086,11.070086,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,15,10503.895,10.503895,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,16,10685.239,10.685239,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,17,11458.086,11.458086,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,18,10931.422,10.931422,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,19,10854.907,10.854907,437504
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,2,10971.13,10.97113,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,20,10953.716,10.953716,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,21,11223.836,11.223836,436864
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,22,10712.83,10.71283,437504
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,23,10723.312,10.723312,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,24,10910.933,10.910933,437504
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,25,10901.834,10.901834,436992
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,26,10846.581,10.846581,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,27,11034.167,11.034167,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,28,10892.415,10.892415,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,29,10818.228,10.818228,437504
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,3,10952.886,10.952886,437376
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,30,11053.995,11.053995,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,4,10729.889,10.729889,437504
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,5,10855.84,10.85584,437120
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,6,10809.453,10.809453,437504
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,7,10895.855,10.895855,437632
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,8,10922.049,10.922049,437248
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p1density,std,9,10914.008,10.914008,437504
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,1,21733.801,21.733801,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,10,21594.974,21.594974,875008
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,11,21663.769,21.663769,875008
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,12,21387.117,21.387117,875264
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,13,21941.158,21.941158,875264
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,14,21879.476,21.879476,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,15,21950.851,21.950851,875008
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,16,21812.966,21.812966,875008
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,17,21792.284,21.792284,874752
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,18,21836.874,21.836874,875008
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,19,21925.485,21.925485,874880
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,2,21803.187,21.803187,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,20,21796.686,21.796686,875008
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,21,21913.561,21.913561,874752
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,22,21884.913,21.884913,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,23,21809.348,21.809348,875008
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,24,21875.667,21.875667,875008
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,25,21871.33,21.87133,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,26,21677.765,21.677765,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,27,21834.086,21.834086,874880
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,28,21642.038,21.642038,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,29,21810.442,21.810442,875008
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,3,21975.241,21.975241,874880
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,30,21952.797,21.952797,874880
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,4,21832.091,21.832091,875136
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,5,21931.947,21.931947,874880
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,6,21850.276,21.850276,874752
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,7,22020.233,22.020233,874624
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,8,21844.276,21.844276,875264
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,noopt,9,21984.067,21.984067,874880
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p2density,std,1,21738.284,21.738284,875392
