,0_origineel_programma_bounded_negation_voor_herschrijving,3_unfolding,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,5_adoms_weggehaald,6_laatste_optimalisaties,7_original_unfolded
0_origineel_programma_bounded_negation_voor_herschrijving,1.0,1.4351901014947345e-05,3.499002686580985e-06,5.385625401032664e-05,3.512041907454641e-18,0.03219406067310346
3_unfolding,1.4351901014947345e-05,1.0,0.749259077773716,0.749259077773716,1.4655528393297728e-05,7.577958354063299e-11
4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,3.499002686580985e-06,0.749259077773716,1.0,0.5700947680054812,5.385625401032664e-05,1.0770233684299328e-11
5_adoms_weggehaald,5.385625401032664e-05,0.749259077773716,0.5700947680054812,1.0,3.499002686580985e-06,6.879587214946297e-10
6_laatste_optimalisaties,3.512041907454641e-18,1.4655528393297728e-05,5.385625401032664e-05,3.499002686580985e-06,1.0,1.0812142448203693e-27
7_original_unfolded,0.03219406067310346,7.577958354063299e-11,1.0770233684299328e-11,6.879587214946297e-10,1.0812142448203693e-27,1.0
