,0_origineel_programma_bounded_negation_voor_herschrijving,3_unfolding,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,5_adoms_weggehaald,6_laatste_optimalisaties,7_original_unfolded
0_origineel_programma_bounded_negation_voor_herschrijving,1.0,2.065380950673295e-05,4.082169801011149e-06,3.7553514803587066e-05,3.512041907454641e-18,0.03219406067310346
3_unfolding,2.065380950673295e-05,1.0,0.719786686379848,0.8759606848768537,1.0108433164752435e-05,1.5371476482008815e-10
4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,4.082169801011149e-06,0.719786686379848,1.0,0.6485424376215125,5.049272040729192e-05,1.0770233684299328e-11
5_adoms_weggehaald,3.7553514803587066e-05,0.8759606848768537,0.6485424376215125,1.0,5.4385997773094375e-06,3.482671388843966e-10
6_laatste_optimalisaties,3.512041907454641e-18,1.0108433164752435e-05,5.049272040729192e-05,5.4385997773094375e-06,1.0,1.0812142448203693e-27
7_original_unfolded,0.03219406067310346,1.5371476482008815e-10,1.0770233684299328e-11,3.482671388843966e-10,1.0812142448203693e-27,1.0
