,0_origineel_programma_bounded_negation_voor_herschrijving,3_unfolding,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,5_adoms_weggehaald,7_original_unfolded
0_origineel_programma_bounded_negation_voor_herschrijving,1.0,8.232733491099786e-07,2.8995080281353324e-09,1.6211034274865974e-06,0.010695309753137905
3_unfolding,8.232733491099786e-07,1.0,0.34075821829704894,0.867837470460245,5.054491388814531e-14
4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,2.8995080281353324e-09,0.34075821829704894,1.0,0.29323943498782407,1.9510132510884893e-17
5_adoms_weggehaald,1.6211034274865974e-06,0.867837470460245,0.29323943498782407,1.0,1.2300624328393724e-13
7_original_unfolded,0.010695309753137905,5.054491388814531e-14,1.9510132510884893e-17,1.2300624328393724e-13,1.0
