,0_origineel_programma_bounded_negation_voor_herschrijving,3_unfolding,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,5_adoms_weggehaald,7_original_unfolded
0_origineel_programma_bounded_negation_voor_herschrijving,1.0,2.3945377060338228e-08,3.9716827779778616e-08,4.442884970167458e-06,0.010695309753137905
3_unfolding,2.3945377060338228e-08,1.0,0.9006783383401049,0.3711802178771395,4.016489090008833e-16
4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,3.9716827779778616e-08,0.9006783383401049,1.0,0.39834651171928215,5.777240605498882e-16
5_adoms_weggehaald,4.442884970167458e-06,0.3711802178771395,0.39834651171928215,1.0,5.712931938149435e-13
7_original_unfolded,0.010695309753137905,4.016489090008833e-16,5.777240605498882e-16,5.712931938149435e-13,1.0
