,0_origineel_programma_bounded_negation_voor_herschrijving,3_unfolding,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,5_adoms_weggehaald,7_original_unfolded
0_origineel_programma_bounded_negation_voor_herschrijving,1.0,1.8016660242127205e-06,1.6870802781768939e-09,1.157824807561213e-06,0.010695309753137905
3_unfolding,1.8016660242127205e-06,1.0,0.24389623155224333,0.9030313199393349,1.4434024464384007e-13
4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,1.6870802781768939e-09,0.24389623155224333,1.0,0.2672139932630863,9.050077315444029e-18
5_adoms_weggehaald,1.157824807561213e-06,0.9030313199393349,0.2672139932630863,1.0,8.43352434495152e-14
7_original_unfolded,0.010695309753137905,1.4434024464384007e-13,9.050077315444029e-18,8.43352434495152e-14,1.0
