,0_origineel_programma_bounded_negation_voor_herschrijving,3_unfolding,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,5_adoms_weggehaald,7_original_unfolded
0_origineel_programma_bounded_negation_voor_herschrijving,1.0,7.188923551591766e-07,8.53279269474406e-09,7.188923551591766e-07,0.010695309753137905
3_unfolding,7.188923551591766e-07,1.0,0.45230154442735543,0.9786640641037645,3.6141965894081455e-14
4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,8.53279269474406e-09,0.45230154442735543,1.0,0.45230154442735543,9.102190420016018e-17
5_adoms_weggehaald,7.188923551591766e-07,0.9786640641037645,0.45230154442735543,1.0,3.6141965894081455e-14
7_original_unfolded,0.010695309753137905,3.6141965894081455e-14,9.102190420016018e-17,3.6141965894081455e-14,1.0
