,0_origineel_programma_bounded_negation_voor_herschrijving,1_positive_rewrite_proposition_6_3_toegepast,2_proposition_3.9_toegepast,3_unfolding,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,5_adoms_weggehaald,6_laatste_optimalisaties,7_original_unfolded
0_origineel_programma_bounded_negation_voor_herschrijving,1.0,6.958775101528636e-13,7.039096677869837e-12,0.01515344643723779,0.02279464039637025,0.02508217862858253,0.02508217862858253,0.11670886793566965
1_positive_rewrite_proposition_6_3_toegepast,6.958775101528636e-13,1.0,0.8232374882035692,3.52767688810373e-06,1.9088189810939546e-06,1.5074957643654543e-06,4.863149675026758e-21,1.0380613966207267e-18
2_proposition_3.9_toegepast,7.039096677869837e-12,0.8232374882035692,1.0,1.2242148595236514e-05,5.989423607730795e-06,4.941548838503423e-06,6.456550710991731e-20,1.6471349445205086e-17
3_unfolding,0.01515344643723779,3.52767688810373e-06,1.2242148595236514e-05,1.0,0.9022372005516518,0.8774228756118673,2.831552543804542e-06,4.064234312270102e-05
4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,0.02279464039637025,1.9088189810939546e-06,5.989423607730795e-06,0.9022372005516518,1.0,0.9436661378281062,4.941548838503423e-06,7.818160451213642e-05
5_adoms_weggehaald,0.02508217862858253,1.5074957643654543e-06,4.941548838503423e-06,0.8774228756118673,0.9436661378281062,1.0,5.989423607730795e-06,9.974875325063631e-05
6_laatste_optimalisaties,0.02508217862858253,4.863149675026758e-21,6.456550710991731e-20,2.831552543804542e-06,4.941548838503423e-06,5.989423607730795e-06,1.0,0.5801903254053543
7_original_unfolded,0.11670886793566965,1.0380613966207267e-18,1.6471349445205086e-17,4.064234312270102e-05,7.818160451213642e-05,9.974875325063631e-05,0.5801903254053543,1.0
