,0_origineel_programma_bounded_negation_voor_herschrijving,1_positive_rewrite_proposition_6_3_toegepast,2_proposition_3.9_toegepast,3_unfolding,4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,5_adoms_weggehaald,6_laatste_optimalisaties,7_original_unfolded
0_origineel_programma_bounded_negation_voor_herschrijving,1.0,8.717655607490513e-14,8.717655607490513e-14,0.0005038376263215276,0.009177386849420932,0.028369838405516854,0.3194440328526176,0.12201803606515371
1_positive_rewrite_proposition_6_3_toegepast,8.717655607490513e-14,1.0,0.9821972086337847,9.004600106974203e-05,1.9807653603683076e-06,2.9718394571680627e-07,1.4448978382139216e-17,1.5595599888006318e-19
2_proposition_3.9_toegepast,8.717655607490513e-14,0.9821972086337847,1.0,8.765616765428282e-05,1.9427363857000988e-06,2.9718394571680627e-07,1.4448978382139216e-17,1.5595599888006318e-19
3_unfolding,0.0005038376263215276,9.004600106974203e-05,8.765616765428282e-05,1.0,0.4262863779712112,0.23888656062240657,6.383175580684329e-06,4.4669750678653087e-07
4_overbodige_regels_en_conflicten_in_inequalities_weggehaald,0.009177386849420932,1.9807653603683076e-06,1.9427363857000988e-06,0.4262863779712112,1.0,0.7027993243073144,0.00022615861786626023,2.5115200265077836e-05
5_adoms_weggehaald,0.028369838405516854,2.9718394571680627e-07,2.9718394571680627e-07,0.23888656062240657,0.7027993243073144,1.0,0.0010026911455812424,0.00012671274752455638
6_laatste_optimalisaties,0.3194440328526176,1.4448978382139216e-17,1.4448978382139216e-17,6.383175580684329e-06,0.00022615861786626023,0.0010026911455812424,1.0,0.6117829986406832
7_original_unfolded,0.12201803606515371,1.5595599888006318e-19,1.5595599888006318e-19,4.4669750678653087e-07,2.5115200265077836e-05,0.00012671274752455638,0.6117829986406832,1.0
