rewrite_id,rewrite_label,dataset,variant,run,source_file,relation,rule_src,rule_runtime_us,rule_num_tuples,rule_maxRSS_post,rule_runtime_ms
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,13,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run13.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",412025,499537,72064,412.025
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,13,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run13.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",56037,67499,85888,56.037
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,13,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run13.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1529916,432038,83072,1529.916
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,14,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run14.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",284023,499537,60032,284.023
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,14,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run14.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",433260,499537,72320,433.26
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,14,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run14.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",55478,67499,86016,55.478
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,14,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run14.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1540616,432038,83328,1540.616
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,15,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run15.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",284921,499537,60032,284.921
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,15,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run15.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",418132,499537,72320,418.132
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,15,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run15.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",58749,67499,86016,58.749
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,15,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run15.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1553849,432038,83200,1553.849
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,16,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run16.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",328307,499537,59904,328.307
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,16,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run16.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",457499,499537,72064,457.499
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,16,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run16.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   T1(x,y),
   T2(x,y),
   x != y.",61961,67499,85760,61.961
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,16,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run16.json,result_bounded_negation,"result_bounded_negation(x,y) :- 
   edge(x,y),
   edge(y,z),
   edge(z,x).",1602594,432038,82944,1602.594
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,17,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run17.json,T1,"T1(x,y) :- 
   edge(x,y),
   edge(y,z),
   !edge(z,x).",288262,499537,60032,288.262
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,17,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run17.json,T2,"T2(x,y) :- 
   edge(x,y),
   !edge(y,z),
   edge(z,x).",405263,499537,72192,405.263
