rewrite_id,rewrite_label,dataset,variant,run,source_file,program_runtime_us,program_runtime_ms,program_maxRSS_MB
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,26,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run26.json,2726342,2726.342,84.125
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,27,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run27.json,2922875,2922.875,83.625
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,28,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run28.json,2862783,2862.783,83.75
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,29,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run29.json,2745998,2745.998,83.875
0,0_origineel_programma_bounded_negation_voor_herschrijving,data_5000nodes_0p02density,noopt,30,0_origineel_programma_bounded_negation_voor_herschrijving__data_5000nodes_0p02density__noopt__run30.json,2743493,2743.493,83.75
3,3_unfolding,data_5000nodes_0p02density,noopt,1,3_unfolding__data_5000nodes_0p02density__noopt__run1.json,6524909,6524.909,62.25
3,3_unfolding,data_5000nodes_0p02density,noopt,2,3_unfolding__data_5000nodes_0p02density__noopt__run2.json,6453890,6453.89,62.0
3,3_unfolding,data_5000nodes_0p02density,noopt,3,3_unfolding__data_5000nodes_0p02density__noopt__run3.json,6614275,6614.275,61.875
3,3_unfolding,data_5000nodes_0p02density,noopt,4,3_unfolding__data_5000nodes_0p02density__noopt__run4.json,6486872,6486.872,62.125
3,3_unfolding,data_5000nodes_0p02density,noopt,5,3_unfolding__data_5000nodes_0p02density__noopt__run5.json,6396878,6396.878,62.125
3,3_unfolding,data_5000nodes_0p02density,noopt,6,3_unfolding__data_5000nodes_0p02density__noopt__run6.json,6463821,6463.821,62.125
3,3_unfolding,data_5000nodes_0p02density,noopt,7,3_unfolding__data_5000nodes_0p02density__noopt__run7.json,6584276,6584.276,62.125
3,3_unfolding,data_5000nodes_0p02density,noopt,8,3_unfolding__data_5000nodes_0p02density__noopt__run8.json,6571648,6571.648,62.0
3,3_unfolding,data_5000nodes_0p02density,noopt,9,3_unfolding__data_5000nodes_0p02density__noopt__run9.json,6440454,6440.454,62.25
3,3_unfolding,data_5000nodes_0p02density,noopt,10,3_unfolding__data_5000nodes_0p02density__noopt__run10.json,6544595,6544.595,62.0
3,3_unfolding,data_5000nodes_0p02density,noopt,11,3_unfolding__data_5000nodes_0p02density__noopt__run11.json,6478823,6478.823,62.0
3,3_unfolding,data_5000nodes_0p02density,noopt,12,3_unfolding__data_5000nodes_0p02density__noopt__run12.json,6531384,6531.384,62.0
3,3_unfolding,data_5000nodes_0p02density,noopt,13,3_unfolding__data_5000nodes_0p02density__noopt__run13.json,6508351,6508.351,62.125
3,3_unfolding,data_5000nodes_0p02density,noopt,14,3_unfolding__data_5000nodes_0p02density__noopt__run14.json,6423035,6423.035,62.125
3,3_unfolding,data_5000nodes_0p02density,noopt,15,3_unfolding__data_5000nodes_0p02density__noopt__run15.json,6458420,6458.42,62.125
3,3_unfolding,data_5000nodes_0p02density,noopt,16,3_unfolding__data_5000nodes_0p02density__noopt__run16.json,6456983,6456.983,62.125
3,3_unfolding,data_5000nodes_0p02density,noopt,17,3_unfolding__data_5000nodes_0p02density__noopt__run17.json,6609774,6609.774,61.875
3,3_unfolding,data_5000nodes_0p02density,noopt,18,3_unfolding__data_5000nodes_0p02density__noopt__run18.json,6416776,6416.776,61.875
